contract,gm1%,spc2014,spc2016,spc-new
NCL2015-0134,18.69,646682.49,417167.97,500601.57
NCL2015-0134,18.76,650291.21,417528.85,501034.62
NCL2015-0134,18.83,653899.93,417889.72,501467.66
NCL2015-0134,18.90,657508.65,418250.59,501900.71
NCL2015-0134,18.97,661117.37,418611.46,502333.75
NCL2015-0134,19.04,664726.09,418972.33,502766.80
NCL2015-0134,19.11,668334.81,419333.21,503199.85
NCL2015-0134,19.18,671943.53,419694.08,503632.89
NCL2015-0134,19.25,675552.25,420054.95,504065.94
NCL2015-0134,19.32,679160.97,420415.82,504498.99
NCL2015-0134,19.39,682769.69,420776.69,504932.03
NCL2015-0134,19.46,686378.41,421137.57,505365.08
NCL2015-0134,19.53,689987.13,421498.44,505798.13
NCL2015-0134,19.59,693595.85,421859.31,506231.17
NCL2015-0134,19.66,697204.57,422220.18,506664.22
NCL2015-0134,19.73,700813.28,422581.05,507097.26
NCL2015-0134,19.80,704422.00,422941.93,507530.31
NCL2015-0134,19.87,708030.72,423302.80,507963.36
NCL2015-0134,19.94,711639.44,423663.67,508396.40
NCL2015-0134,20.00,715248.16,678439.27,763244.17
NCL2015-0134,20.07,718856.88,679016.66,763893.74
NCL2015-0134,20.14,722465.60,679594.06,764543.31
NCL2015-0134,20.21,726074.32,680171.45,765192.88
NCL2015-0134,20.28,729683.04,680748.85,765842.45
NCL2015-0134,20.34,733291.76,681326.24,766492.02
NCL2015-0134,20.41,736900.48,681903.64,767141.59
NCL2015-0134,20.48,740509.20,682481.03,767791.16
NCL2015-0134,20.55,744117.92,683058.43,768440.73
NCL2015-0134,20.61,747726.64,683635.82,769090.30
NCL2015-0134,20.68,751335.36,684213.22,769739.87
NCL2015-0134,20.75,754944.08,684790.61,770389.44
NCL2015-0134,20.81,758552.80,685368.01,771039.01
NCL2015-0134,20.88,762161.52,685945.40,771688.58
NCL2015-0134,20.95,765770.24,686522.80,772338.15
NCL2015-0134,21.01,769378.96,687100.19,772987.72
NCL2015-0134,21.08,772987.67,687677.59,773637.29
NCL2015-0134,21.15,776596.39,688254.98,774286.86
NCL2015-0134,21.21,780205.11,688832.38,774936.43
NCL2015-0134,21.28,783813.83,689409.77,775585.99
NCL2015-0134,21.34,787422.55,689987.17,776235.56
NCL2015-0134,21.41,791031.27,690564.56,776885.13
NCL2015-0134,21.48,794639.99,691141.96,777534.70
NCL2015-0134,21.54,798248.71,691719.35,778184.27
NCL2015-0134,21.61,801857.43,692296.75,778833.84
NCL2015-0134,21.67,805466.15,692874.14,779483.41
NCL2015-0134,21.74,809074.87,693451.54,780132.98
NCL2015-0134,21.80,812683.59,694028.93,780782.55
NCL2015-0134,21.87,816292.31,694606.33,781432.12
NCL2015-0134,21.93,819901.03,695183.72,782081.69
NCL2015-0134,22.00,823509.75,695761.12,782731.26
NCL2015-0134,22.06,827118.47,696338.51,783380.83
NCL2015-0134,22.13,830727.19,696915.91,784030.40
NCL2015-0134,22.19,834335.91,697493.30,784679.97
NCL2015-0134,22.25,837944.63,698070.70,785329.54
NCL2015-0134,22.32,841553.34,698648.10,785979.11
NCL2015-0134,22.38,845162.06,699225.49,786628.68
NCL2015-0134,22.45,848770.78,699802.89,787278.25
NCL2015-0134,22.51,852379.50,700380.28,787927.82
NCL2015-0134,22.57,855988.22,700957.68,788577.39
NCL2015-0134,22.64,859596.94,701535.07,789226.95
NCL2015-0134,22.70,863205.66,702112.47,789876.52
NCL2015-0134,22.77,866814.38,702689.86,790526.09
NCL2015-0134,22.83,870423.10,703267.26,791175.66
NCL2015-0134,22.89,874031.82,703844.65,791825.23
NCL2015-0134,22.96,877640.54,704422.05,792474.80
NCL2015-0134,23.02,881249.26,704999.44,793124.37
NCL2015-0134,23.08,1061829.57,705576.84,793773.94
NCL2015-0134,23.14,1066160.04,706154.23,794423.51
NCL2015-0134,23.21,1070490.50,706731.63,795073.08
NCL2015-0134,23.27,1074820.97,707309.02,795722.65
NCL2015-0134,23.33,1079151.43,707886.42,796372.22
NCL2015-0134,23.39,1083481.89,708463.81,797021.79
